Run,Generation,Ind0,Ind1,Ind2,Ind3,Ind4,Ind5,Ind6,Ind7,Ind8,Ind9,Ind10,Ind11,Ind12,Ind13,Ind14,Ind15,Ind16,Ind17,Ind18,Ind19,Ind20,Ind21,Ind22,Ind23,Ind24,Ind25,Ind26,Ind27,Ind28,Ind29,Ind30,Ind31,Ind32,Ind33,Ind34,Ind35,Ind36,Ind37,Ind38,Ind39,Ind40,Ind41,Ind42,Ind43,Ind44,Ind45,Ind46,Ind47,Ind48,Ind49
0,0,12801236,12651192,12614435,12551877,12473278,11998220,11647228,11643771,11443106,11383805,10884065,10288174,10064882,9699450,9317758,9219298,9031375,8753483,8734965,8471318,-492661545291,-1272199477136,-1377071519451,-1745061246292,-2774966638310,-3365764860331,-4523094343494,-4788490164326,-6258328934070,-7581360384668,-8891025823790,-11366058149884,-14207429061651,-17148050072472,-17302337386500,-17729490377770,-19115547635200,-21325040059916,-23850215199332,-24358405231090,-26238265042464,-29127177430147,-31144570813440,-31565426409312,-32056658264301,-32393715405394,-40329785521246,-44728084471248,-62714182439370,-68920024951034
0,1,12801236,12707407,12651192,12651192,12651192,12614435,12473278,12203381,11998220,11753066,11443106,11383805,10288174,9371956,8734965,8471318,7393271,6960269,-96031803725,-492661545291,-492661545291,-1272199477136,-1745061246292,-1745061246292,-2774966638310,-2774966638310,-2774966638310,-3365764860331,-3365764860331,-3365764860331,-3836288679762,-8891025823790,-9424372531625,-11366058149884,-14207429061651,-14207429061651,-14207429061651,-16069806779310,-17148050072472,-17148050072472,-17302337386500,-19638845171988,-23850215199332,-24358405231090,-26238265042464,-27248220552704,-30159781115518,-31565426409312,-40741642988961,-54562488189456
0,2,13000987,12854937,12801236,12801236,12707407,12651192,12651192,12473278,12203381,12169064,12042901,11998220,11877421,11769342,11383805,11283091,10886332,10856243,9812033,9312208,8541423,6960269,-96031803725,-1745061246292,-1745061246292,-2774966638310,-2774966638310,-2774966638310,-2774966638310,-3365764860331,-3365764860331,-3429744980970,-3795659230018,-3836288679762,-8891025823790,-8891025823790,-8891025823790,-9424372531625,-11366058149884,-11366058149884,-11454074212825,-17302337386500,-17302337386500,-17302337386500,-17751123279129,-19365666612792,-21617898314145,-25926568440388,-26238265042464,-40741642988961
0,3,13000987,13000987,13000987,12854937,12801236,12707407,12651192,12651192,12651192,12485974,12473278,12202223,11998220,10856243,10089439,9553950,9312208,9118666,9043043,8293200,7546210,6960269,6960269,5283260,-783971284288,-1745061246292,-1745061246292,-1745061246292,-1875501956539,-2319903002560,-2774966638310,-2774966638310,-3365764860331,-3648999472256,-3795659230018,-4326323074336,-6408164876091,-7431176422010,-8240548232330,-8891025823790,-8891025823790,-11366058149884,-11454074212825,-11454074212825,-13755222657402,-14286740087528,-20325086990468,-25054054352292,-43428836768625,-50692105017099
0,4,13000987,13000987,12801236,12801236,12651192,12651192,12485974,12482385,12473278,12473278,12316590,12202223,11998220,11998220,11873675,10942816,10370229,10089439,9583889,9492101,9312208,9118666,9118666,9043043,8503627,7546210,7546210,7077547,-644230201610,-1466460484776,-1745061246292,-2774966638310,-3534069322784,-3648999472256,-3795659230018,-3795659230018,-3890736464112,-4897258687825,-5364508201750,-6408164876091,-6448839047154,-8891025823790,-8891025823790,-8891025823790,-9800349732030,-13021450496978,-13755222657402,-14331971366742,-26394539839992,-45771743997604
0,5,13000987,13000987,13000987,13000987,13000987,13000987,13000987,12651192,12590681,12575463,12485974,12473278,12357197,12113059,11998220,11968227,11873675,11350595,10942816,10942816,10737938,10504309,10370229,9798469,9583889,9455587,9405733,9118666,9043043,8503627,7546210,7077547,7077547,7057956,3563863,-1466460484776,-3795659230018,-3795659230018,-3890736464112,-6408164876091,-6928538633240,-7369210568523,-8805160604422,-8891025823790,-9800349732030,-10109719524753,-12610581217512,-15166782181375,-31009338232500,-60874205025524
0,6,13000987,13000987,13000987,13000987,13000987,13000987,13000987,12955732,12575463,12575463,12113059,11873675,11873675,11350595,11209559,10942816,10824379,10753671,10687864,10504309,10504309,10313793,10094724,10043204,10041567,9606780,9583889,9455587,9118666,9043043,8664006,8440594,8121841,7077547,7057956,3563863,-1466460484776,-3795659230018,-3890736464112,-5045678898006,-7227933512112,-7273468286262,-7369210568523,-8891025823790,-9800349732030,-12167149299669,-13919737101080,-25530491584608,-26266321101020,-41022744200960
0,7,13000987,13000987,13000987,13000987,13000987,13000987,13000987,12937526,12647827,12364492,12267587,12149572,11884926,11873675,11873675,11798348,11765385,11323978,11065927,10824379,10824379,10753671,10753671,10504309,10504309,10313793,10094724,9865055,9853278,9759309,9649682,9626303,9621357,9606780,9583889,9247443,8664006,8588098,8440594,8121841,7077547,-1457069584707,-1466460484776,-3890736464112,-5045678898006,-5045678898006,-11879380861932,-14062068611695,-14238551086508,-15166782181375
0,8,13000987,13000987,13000987,13000987,13000987,13000987,13000987,13000987,13000987,13000987,12649763,12647827,12600903,12277260,12267587,12149572,11323978,11302931,11143265,11005196,10965159,10939791,10850431,10824379,10824379,10640575,10504309,10504309,10316545,10094724,9999166,9865055,9853278,9802335,9649682,9621357,9583889,9086754,8922778,8798267,8664006,8121841,7077547,7077547,-1002301621074,-1466460484776,-2910045691200,-3688478887112,-5404007534472,-6194777556147
0,9,13000987,13000987,13000987,13000987,13000987,13000987,13000987,12600903,12574717,12570866,12277260,12149572,12076841,11841040,11344185,11323978,11302931,11302931,11143265,11070528,10850431,10850431,10824379,10824379,10640575,10504309,10479882,10383211,10316545,10094724,9999166,9853278,9802335,9802335,9681778,9583889,9390808,9157256,9097677,8746400,7934675,7718158,7112208,7077547,-2910045691200,-3688478887112,-4504802704864,-5457175428042,-6372593704113,-9300016509960
0,10,13000987,13000987,13000987,13000987,13000987,13000987,13000987,12833895,12600903,12600903,11978783,11975486,11902162,11675794,11344185,11323978,11302931,11302931,11302931,11240691,11151030,11097991,11077917,10879139,10850431,10850431,10824379,10824379,10479882,10316545,10094724,10094724,9999166,9999166,9853278,9853278,9814981,9802335,9734452,9681778,9583889,9529124,9097677,8963566,8804161,7934675,7718158,7077547,-5457175428042,-6094294137252
0,11,13000987,13000987,13000987,13000987,13000987,13000987,13000987,13000987,12615083,12600903,12600903,12600903,12600903,12246903,11978783,11902162,11302931,11302931,11266143,11151030,11127368,11077917,11044656,10879139,10850431,10824760,10824379,10302706,10248467,10094724,10094724,10094724,9999166,9853278,9829525,9814981,9734452,9681778,9681778,9448721,9222337,8226918,7934675,6996891,6869565,-3951092898797,-4025408723548,-5457175428042,-8929256956094,-13637543077720
0,12,13000987,13000987,13000987,13000987,13000987,13000987,13000987,13000987,13000987,13000987,13000987,12826292,12781663,12615083,12600903,12600903,12600903,11902162,11302931,11151030,11127368,11077917,11076933,10968959,10879139,10850431,10824760,10704394,10412940,10224262,10094724,10027724,10022963,9829525,9814981,9734452,9681778,9626303,9128407,8774888,8549792,8252149,8226918,8226918,8226918,7934675,-1253071105398,-1953819148335,-4025408723548,-10407031261110
0,13,13208223,13000987,13000987,13000987,13000987,13000987,12931321,12781663,12755817,12615083,12606323,12600903,12031194,12003852,11902162,11725416,11706665,11641862,11527151,11293713,11275799,11151030,11077917,11077917,11076933,10704394,10492528,10328036,10224262,10027724,10024837,10024837,10022963,10022963,9866154,9814981,9681778,9271852,8934484,8774888,8549792,8549792,8525518,8226918,8226918,8226918,8226918,7934675,6772614,-6800120205232
0,14,13208223,13000987,13000987,12755817,12755817,12606323,12600903,12600903,12031194,12003852,11928348,11706665,11706665,11706665,11293713,11293713,11129705,11111438,11109874,11108706,10981001,10704394,10604967,10550214,10483651,10451897,10325436,10123267,10024837,10024837,10024837,10022963,10022963,10022963,10022963,9963656,9866154,9681778,9661941,9348724,8226918,8185149,7333669,7248112,6650153,6609887,-5024499436275,-6352957420271,-9349821882709,-9678145516182
0,15,13208223,13208223,13208223,13000987,13000987,12428542,12003852,11978500,11930629,11930180,11706665,11704530,11539912,11330153,11321294,11222424,10900036,10848557,10704394,10625852,10550214,10232073,10123267,10123267,10024837,10024837,10024837,10022963,10022963,10022963,10022963,9963656,9963656,9866154,9556706,9492295,9436645,9372847,9366894,9348724,9281936,9055044,8804161,8497309,6650153,6609887,-2096508255972,-5024499436275,-5122204608638,-10111099733056
0,16,13208223,13208223,13053787,13000987,12943838,12829534,12746764,12636524,12075926,11951166,11930180,11804391,11706665,11706665,11706665,11585248,11539912,11539912,11401629,11330153,11321294,11222424,10900036,10900036,10900036,10625852,10535519,10315735,10123267,10024837,10024837,10022963,10022963,10022963,10013839,9556706,9492295,9448422,9204090,9055044,9014739,8804161,8804161,7676793,7503732,7248112,6650153,-1540532901786,-2376022283415,-5045678898006
0,17,13208223,13208223,13194798,13053787,13053787,13053787,13000987,13000987,13000987,12829534,12636524,12498796,11894549,11804391,11706665,11609669,11585248,11539912,11401629,11321294,11306054,11222424,11222424,11222424,10968809,10899271,10881071,10848557,10675213,10272114,10175694,10024837,10022963,10022963,10022963,10013839,9556706,9556706,9462365,9448422,9308565,9204090,8804161,7512586,6650153,-897813515328,-1540532901786,-2376022283415,-5558752355628,-11926134336252
0,18,13208223,13208223,13208223,13208223,13194798,13053787,12956791,12726063,12636524,12498796,12338564,12236388,12032539,12010287,11894549,11894549,11804391,11578531,11321294,11306054,11224251,11222424,11222424,11222424,11222424,11033246,10968809,10692832,10675213,10585845,10433014,10272114,10171268,10022963,9925967,9462365,9462365,9308565,9031411,8830185,8804161,8637006,8547402,8338180,7603430,6650153,-1540532901786,-2128621342929,-21766141180836,-35435191341312
0,19,13208223,13208223,13208223,12726063,12636524,12636524,12498796,12338564,12032539,12010287,11804391,11321294,11306054,11258400,11224251,11179758,10968809,10968809,10968809,10968809,10902902,10768258,10752937,10752937,10585845,10272114,10171268,10078698,10022963,9925967,9556782,9545415,9467206,9462365,9462365,9308565,9282152,8901271,8830185,8637006,8637006,8637006,8338180,7711884,6700568,6650153,6650153,-1366646339148,-1399610453540,-1686033908300
0,20,13208223,13208223,12259806,12092189,12064715,12010287,12010287,11897846,11877805,11597654,11449937,11414414,11380617,11321294,11306054,11258400,11096117,10902902,10902902,10834364,10768258,10274016,10272114,10272114,10078698,9976650,9867238,9814981,9645113,9545415,9462365,9308565,8964494,8956080,8637006,8637006,8626847,8560726,8338180,8338180,8231447,7711884,6959997,6650153,6479864,6329356,-2525346713680,-4951248088402,-5757959370294,-8540740565796
1,0,12726234,12516261,12435345,12373301,12365185,11740687,11098291,10884763,10693737,10462776,10437402,10332304,10022807,9496356,9377409,9267809,9050778,8684855,8384374,6196358,5860716,5011478,-213167847663,-627002285490,-3612427974464,-4406300853780,-4601377993848,-4652065621155,-5035293691208,-8227306136433,-8231225812836,-9276824446245,-9774194084600,-9791169957702,-11524165222112,-12010215083880,-12968562753684,-14698798845709,-18543628345725,-18736642588440,-21651591193302,-22057596304941,-22898871618210,-26503990141725,-26514199672142,-26928045614436,-29248101933216,-29534479192634,-30791842612765,-31813102542861
1,1,12726234,12554593,12516261,12435345,12365185,11740687,11669582,11393941,11383618,11233311,11098291,11046529,10884763,10884763,10693737,10462776,10332304,10332304,10257769,10022807,9787409,9496356,9267809,8817286,8684855,8684855,8384374,8384374,8384374,6339923,6196358,5860716,5860716,-213167847663,-627002285490,-973968756855,-1128123237621,-2792782153172,-4406300853780,-4406300853780,-7784277811752,-9320759559860,-10449224812938,-12010215083880,-12968562753684,-14698798845709,-17834813168164,-18543628345725,-18736642588440,-22057596304941
1,2,12766134,12755060,12726234,12726234,12554593,12516261,12435345,12365185,12011997,11891695,11778330,11442165,11393941,11393941,11383618,11383272,11233311,11233311,11098291,10551040,10462776,9915209,9796381,9462260,9267809,9267809,9138417,8994331,8754521,8684855,8384374,7558780,6196358,6149592,6142863,5860716,5014170,-627002285490,-627002285490,-1106202798631,-1115840817188,-1128123237621,-2792782153172,-4375000414238,-4406300853780,-7292121125120,-7784277811752,-12404432506150,-18736642588440,-34581927347616
1,3,12766134,12755060,12516261,12516261,12516261,12435345,12435345,12261196,11753659,11635488,11553482,11452300,11383272,11353918,10944818,10399553,10070793,9812656,9796381,9467977,9462260,9267809,9267809,9267809,9267809,9029313,8830035,8771858,8754521,8684855,8315085,8194445,7676539,6196358,6196358,6196358,6149592,5860716,5253326,-1106202798631,-1128123237621,-1401452727563,-4406300853780,-4406300853780,-7292121125120,-7784277811752,-11329594689798,-12404432506150,-12404432506150,-21934084782426
1,4,12766134,12766134,12766134,12755060,12614881,12516261,12516261,12516261,12435345,12261196,12096883,11816276,11723548,11635488,11635488,11553482,11524524,11452300,11384398,11383272,11382634,11353918,10865810,10742259,10490181,10462189,9991838,9812656,9796381,9670242,9413546,9267809,8836769,8830035,8754521,8452984,8102080,7933365,7676539,6703500,6592266,5253326,-1106202798631,-1401452727563,-1634539628293,-3610677423045,-6728010147983,-12011899994226,-12449628683733,-14788127793365
1,5,12820791,12766134,12766134,12766134,12766134,12766134,12755060,12614881,12532628,12516261,12516261,12396894,12279957,12162210,12096883,12004749,11874559,11723548,11617754,11452300,11391430,11383272,11383272,11383272,11353918,11182706,10873493,10490181,10462189,10462189,10421360,10004354,9812656,9812656,9670242,9670242,9413546,9413546,9276172,9267809,8830035,8754521,8102080,7676539,6574339,-1500314956362,-2032167513744,-3167349975552,-13430621773228,-13746316362316
1,6,13043274,12986097,12820791,12775211,12766134,12766134,12766134,12766134,12766134,12673045,12614881,12532628,12435527,12279957,12278008,12122415,12096883,11723548,11723548,11571300,11399999,11391430,11313954,10887617,10873493,10684896,10504136,10490181,10462189,10004354,10004354,10004354,10004354,9812656,9670242,9656010,9413546,9030746,8927674,8844648,8754521,8754521,8715170,8594816,7676539,6574339,-1389669680940,-3225060778035,-5466462706700,-9937850074581
1,7,13043274,13043274,12986097,12986097,12766134,12766134,12647269,12614881,12614881,12532628,12435527,12279957,12279957,12134328,12122415,12068371,11916816,11723548,11723548,11571300,11452414,11302245,11296821,11273052,11108777,10878739,10873874,10510421,10504136,10004354,10004354,9855599,9838565,9812656,9748859,9673113,9632597,9413546,9210029,9168836,8774601,8754521,8535840,8294942,7850269,7676539,7603861,-1389669680940,-3225060778035,-3955914093995
1,8,13043274,13043274,13043274,13043274,12986097,12766134,12766134,12279957,12279957,12279957,12279957,12245620,12096547,12068371,12010266,11916816,11895404,11723548,11723548,11723548,11723548,11571300,11571300,11478038,11273052,11191259,11108777,10863578,10803665,10683786,10499945,10123841,9748859,9592375,9168836,8774601,8754521,8709079,8505110,8479112,8315825,8294942,8254004,7829743,7676539,7603861,7551833,6399597,-56142826542,-2277101749720
1,9,13043274,13043274,13043274,13043274,13043274,12833116,12559066,12279957,12279957,12279957,12279957,12252341,12096547,12068371,11945845,11751308,11723548,11571300,11191259,10863578,10863578,10803665,10591774,10420843,10123841,10123841,10004354,9994430,9464851,9225861,9168836,9126646,8774601,8754521,8709079,8677605,8566619,8315825,8278849,8254004,8254004,8109851,7829743,7603861,7551833,7253696,6399597,4614759,-3930401818938,-26000067257216
1,10,13043274,13043274,13043274,13043274,12833116,12721738,12419634,12279957,12279957,12252341,12233512,12096547,12096547,12068371,11733091,11723548,11590404,11191259,11150043,11103260,11028195,10863578,10863578,10863578,10846480,10693710,10591833,10498472,10420843,10280543,10226752,9825965,9632597,9225861,8896873,8820252,8682719,8677605,8566619,8421385,8278849,8109851,7714112,7423395,6424067,6344221,4614759,-3306176193995,-3930401818938,-13518752128772
1,11,13043274,13043274,13043274,12833116,12833116,12721738,12721738,12699769,12279957,12252341,12252341,12233512,12138037,11733091,11730041,11723548,11290369,11150043,11150043,11028195,11028195,10863578,10863578,10846480,10846480,10693710,10513781,10504968,10420843,10420843,10420843,10291959,9692118,9632597,9632597,9437377,8896873,8566619,8421385,8421385,7954421,7423395,7423395,6884882,6442214,6344221,5598092,3789165,-1468668657744,-3930401818938
1,12,13043274,13043274,13043274,13043274,13043274,13043274,12963631,12705204,12583903,12252341,11820641,11730041,11723548,11232839,11150043,11090887,11028195,10846480,10822059,10693710,10513781,10458191,10448603,10446482,10420843,10291959,10291959,10193330,9798399,9692118,9632597,9569809,9437377,9383186,8934221,8896873,8744215,8452727,8366410,8269941,7954421,7423395,7423395,7054134,6442214,6442214,6344221,-1984066284340,-6156419377464,-20440333658503
1,13,13043274,13043274,13043274,12705204,12583903,12421543,12252341,12188841,11815929,11756363,11659125,11232839,11232839,11167108,11150043,10941021,10863921,10779814,10693710,10693710,10623993,10448603,10446482,10291959,10193330,10193330,10130888,10129909,10080936,9877535,9798399,9569809,9540124,9437377,9383186,9248219,8744215,8744215,8674549,8487867,8418461,7423395,7179739,7054134,7012916,6442214,6344221,-6156419377464,-9051185107881,-19303372717050
1,14,13043274,13043274,13043274,12705204,12583903,12398098,11781663,11659125,11618488,11529468,11525064,11481453,11450724,11232839,11108426,10941021,10874533,10871957,10831975,10779814,10772352,10693710,10623993,10336588,10291959,10193330,10130888,10129909,10080936,9877535,9798399,9540124,9355125,9286563,9268627,9100404,8884718,8674549,8674549,8657948,8487867,8487867,7844542,7683264,7179739,7179739,6442214,-3642657990849,-6156419377464,-6156419377464
1,15,13043274,13043274,13043274,13043274,12705204,12705204,11781663,11781663,11554163,11529468,11481453,11481453,11232839,11232839,11108426,11108426,10941021,10831975,10802845,10364599,10336588,10291959,10262540,10130888,10129909,10006381,9798399,9405012,9355125,9308386,9100404,8884718,8674549,8674549,8657948,8657948,8626172,8487867,8487867,8162499,7662273,7179739,7179739,7110073,-1250701118732,-1951518072024,-6156419377464,-7184611313316,-15107371139256,-16127863855950
1,16,13043274,13043274,13043274,12907877,12722337,12577017,12497666,12379757,12330912,11853789,11781663,11781663,11481453,11481453,11436198,11218254,10941021,10364599,10291959,10262540,10262540,10262540,10130888,10130888,10061747,10006381,9910784,9615650,9610210,9483542,9405012,9405012,9332142,9308386,8902564,8674549,8674549,8665412,8587673,8487867,7728384,7662273,7489563,7110073,6945934,6368975,-1951518072024,-7184611313316,-13097035758720,-15806606838864
1,17,13043274,13043274,13043274,13043274,12497666,12428338,12379757,12178254,11853789,11781663,11751423,11481453,11436198,11436198,11218254,11069589,10956482,10956069,10262540,10130888,10058014,10006381,9910784,9732668,9511718,9483542,9444527,9405012,9361859,9308386,9207212,9166572,8665412,8587673,7811757,7728384,7644310,7556460,7489563,7489563,7489563,7194569,6945934,6682831,6368975,-505631119376,-5831487230999,-6142118884848,-6313169403632,-6871550852929
1,18,13043274,13043274,13043274,12577017,12520269,12428338,12379757,12222115,12207756,12178254,11904081,11781663,11662148,11551080,11481453,11344844,11218254,10959503,10828386,10283927,10262540,10006381,10006381,10006381,9910784,9907585,9813788,9511718,9361859,9166572,9166572,8657948,8657948,8652233,8470175,8094147,7861541,7839437,7728384,7622191,7541966,7489563,7202385,7194569,7194569,6945934,6682831,6682831,-1234077737520,-3020039922240
1,19,13043274,13043274,13043274,13043274,13043274,12899909,12520269,12520269,12247920,12217680,12207756,12207756,11781663,11781663,11781663,11751423,11481834,11094747,10432164,10262540,10115567,10006381,10002330,9910784,9910784,9813788,9511718,9363407,9361859,9342925,9262107,9166572,8839825,8657948,8652233,7916413,7909103,7861541,7858824,7673946,7622191,7194569,7194569,7194569,7194569,6891039,6434480,-146340544565,-1561908863218,-7401106566337
1,20,13043274,13043274,13043274,13043274,12899909,12577017,12520269,12520269,12207756,12207756,12099302,11945234,11781663,11781663,11781663,11781663,11751423,11481834,11419104,11303948,11273852,10262540,10227335,10154803,9910784,9874913,9813788,9813788,9415335,9363407,9361859,9262107,9004780,8917885,8657948,8429909,8138541,7861541,7861541,7858824,7673946,7622191,7303023,7194569,7194569,7194569,6434480,5835070,-146340544565,-146340544565
2,0,12620620,12549594,12530330,12185271,11993095,11948548,11712204,11533481,11492074,11217229,11174064,11021337,10915456,10704741,10528687,10402667,10351156,10207221,9777395,9566942,9551018,8572623,8177409,7246282,6687948,6673222,6664047,6521613,6029164,-483006698840,-839612678832,-1258917553595,-2786881143794,-3067376409100,-3601581453756,-4772845597550,-8632942928260,-14455973149981,-14667908221356,-15267681849693,-15658616798991,-15921671398068,-18950285686600,-19377129670281,-19981874109382,-24491530725552,-25806702822460,-29474857074348,-32589789389000,-75402626608544
2,1,12620620,12549594,12351871,12284836,12207738,12185271,12178461,11809200,11712204,11492074,11475672,11217229,11174064,10952860,10528687,10528687,10402667,10207221,10151165,9777395,9777395,9589457,9551018,9357310,9329732,8931797,8454726,8177409,7246282,6780474,6664047,6029164,5203570,-483006698840,-483006698840,-2320490017025,-3067376409100,-4772845597550,-8161883421789,-10606783900167,-15267681849693,-15267681849693,-15921671398068,-19863602780560,-19981874109382,-25806702822460,-27244323357900,-31739448005892,-37934315549305,-48437172771167
2,2,12776232,12620620,12620620,12620620,12549594,12351871,12307332,12284836,12178461,11870620,11712204,11700052,11500305,11496065,11217229,11217229,11217229,11068306,10924280,10528687,10462956,10402667,10402667,10402667,10301437,9243167,8706446,8454726,8433232,8177409,7969427,7823575,7344458,6664047,6664047,6211843,5404441,4257066,-483006698840,-2320490017025,-5016473449900,-7852899825940,-8161883421789,-8292801894792,-10606783900167,-15267681849693,-15267681849693,-18780462540030,-25806702822460,-37934315549305
2,3,12933352,12776232,12620620,12620620,12351871,12307332,12284836,11967780,11217229,11158595,11068306,11068306,11068306,11048290,10924280,10402667,10365530,10301437,9930486,9615043,9243167,9243167,9003003,8706446,8433232,8386798,8369953,7901294,7653802,7610551,6664047,6664047,6574165,6211843,5406013,5404441,5013940,-730503207609,-2320490017025,-2514787371197,-9326553101900,-10606783900167,-12054205162048,-15267681849693,-15267681849693,-15267681849693,-15484715199206,-26190661338726,-26981753184036,-52060998949820
2,4,12933352,12776232,12776232,12776232,12776232,12776232,12776232,12620620,12284836,12107758,11819822,11459623,11158595,10847968,10510894,10431261,10402667,10402667,10301437,10301437,9615043,9431553,8817432,8706446,8706446,8369953,7901294,7697931,7653802,7610551,7610551,7251103,6877514,6574165,6211843,5406013,5404441,-730503207609,-805158752970,-1367889827808,-2514787371197,-4678155336102,-6897919661424,-9326553101900,-13098706758513,-13641957513723,-15267681849693,-15267681849693,-15267681849693,-40999518130552
2,5,12933352,12933352,12933352,12933352,12776232,12776232,12776232,12776232,12776232,12776232,12284836,12107758,12107758,11845264,11587983,11464985,11228261,10847968,10573479,10283900,10274010,10050256,9431553,9431553,9431553,8803872,8706446,8652233,8580138,8484100,7653802,7073031,6877514,6877514,6840764,6211843,5144944,4088550,3864067,-285853854832,-805158752970,-2268196662968,-2514787371197,-5556122942804,-6897919661424,-6897919661424,-9326553101900,-13641957513723,-39923961111255,-55378645272000
2,6,12933352,12933352,12887218,12776232,12490937,12284836,12284836,12284836,12107758,12107758,11940714,11845264,11845264,11845264,11845264,11587983,11464985,11464985,11408997,11266986,11228261,11151420,11119418,10449559,10283900,10283900,9431553,9431553,9132415,8652233,8580138,8484100,8484100,8365982,6581104,6366002,5959538,5144944,4088550,3577038,2535507,-87111267682,-104029413878,-805158752970,-805158752970,-2268196662968,-7824172449222,-7852899825940,-9326553101900,-44848093316316
2,7,12933352,12933352,12933352,12933352,12798541,12490937,12284836,12207459,12021839,11940714,11845264,11845264,11645437,11464985,11377542,11266986,10733187,10449559,10437650,10283900,10283900,9782614,9587881,9431553,9213772,9132415,9132415,8881749,8580138,8580138,8373114,7704845,7663926,7528509,7107190,6581104,6232713,4279845,4143819,2535507,-805158752970,-805158752970,-805158752970,-805158752970,-2493188164610,-3521902288383,-4538414648660,-4540936721522,-6608841910251,-7852899825940
2,8,12933352,12933352,12933352,12933352,12284836,12108119,11986023,11968517,11845264,11379007,11377542,11266986,11266986,11213032,11169516,10733187,10709197,10449559,10437650,10437650,10283900,10283900,10283900,9945064,9878073,9782614,9782112,9638114,9587881,9472287,9431553,9213772,9132415,9132415,8734226,8580138,8373114,7704845,7352434,6737929,4143819,4143819,2535507,-251940070467,-805158752970,-2493188164610,-7217757159456,-8045866758456,-9014786899540,-15367383125770
2,9,12933352,12933352,12933352,12933352,12933352,12365546,12108119,11986023,11968517,11968517,11845264,11548542,11525084,11213032,11169516,10733187,10457479,10449559,10449559,10437650,10437650,10437650,10437650,10283900,9782614,9782614,9605897,9587881,9587881,9132415,8597981,8373114,8299161,7961105,7352434,7007521,6737929,6737929,4143819,4143819,-805158752970,-805158752970,-1675996211870,-2986246812850,-7217757159456,-10053865745040,-10525289928080,-14810770787960,-15988676724567,-17376701874030
2,10,12933352,12933352,12933352,12933352,12933352,12933352,12933352,12933352,12933352,12751093,12707689,12441965,12061062,11968517,11548542,11213032,11169516,11102448,10733187,10482186,10457479,10449559,10449559,10449559,10437650,10040889,9958009,9845391,9835467,9782614,9587881,9587881,9587881,9587881,9544485,8373114,8178028,7967878,7935428,7547520,6090436,4143819,4143819,4143819,4143819,4143819,-805158752970,-805158752970,-7112462496203,-10053865745040
2,11,12933352,12933352,12933352,12933352,12933352,12933352,12933352,12933352,12933352,12883548,12443489,12441965,12441965,12114659,12061062,12006156,11558781,11548542,11321537,10733187,10567137,10482186,10482186,10449559,9988407,9835467,9587881,9544485,8914913,8907160,8373114,8373114,8267818,8009440,7967878,7927618,7819780,7717526,6509348,6148134,6090436,4596948,4143819,3940272,-579361587584,-805158752970,-13098461802993,-15993256904640,-19806125978125,-21681280803540
2,12,12933352,12933352,12933352,12933352,12933352,12933352,12933352,12933352,12933352,12933352,12517097,12441965,12441965,12441965,12114659,11908730,11691801,11558781,11321537,11154842,10733187,10733187,10711213,10567137,10567137,10167746,9988407,9587881,9544485,9544485,9360289,9276421,8687481,8373114,7979964,7967878,7868256,7819780,7819780,7717526,6638971,6530236,3940272,-579361587584,-1675996211870,-2890433202438,-5537179906560,-5550704166228,-14952362878095,-31575288770740
