PopSize,Generations,ParentRatio,MutateProb,EliteRatio,SelectionMethod,Executions,AvgFitness,BestFitness,StdDeviation,OptimalFitness,DifferenceFromOptimal
25,40,50,1,1,1,20,13066032.50,13288831.00,106263.65,13549094,260263.00
25,40,50,1,1,2,20,13099418.35,13254966.00,93913.86,13549094,294128.00
25,40,50,1,2,1,20,13100284.70,13312065.00,168997.59,13549094,237029.00
25,40,50,1,2,2,20,13117668.45,13518963.00,158562.50,13549094,30131.00
25,40,50,1,5,1,20,13096181.90,13415324.00,138148.32,13549094,133770.00
25,40,50,1,5,2,20,13074032.35,13236968.00,80431.20,13549094,312126.00
25,40,50,2,1,1,20,13091974.30,13376712.00,140514.72,13549094,172382.00
25,40,50,2,1,2,20,13115470.10,13268250.00,109584.73,13549094,280844.00
25,40,50,2,2,1,20,13154764.45,13332782.00,105519.65,13549094,216312.00
25,40,50,2,2,2,20,13139325.10,13325958.00,135088.36,13549094,223136.00
25,40,50,2,5,1,20,13104489.35,13273658.00,137308.14,13549094,275436.00
25,40,50,2,5,2,20,13171290.75,13406350.00,98065.87,13549094,142744.00
25,40,50,5,1,1,20,13216975.95,13395457.00,110266.77,13549094,153637.00
25,40,50,5,1,2,20,13136359.45,13284152.00,93015.88,13549094,264942.00
25,40,50,5,2,1,20,13143168.40,13316558.00,96743.39,13549094,232536.00
25,40,50,5,2,2,20,13127653.60,13366261.00,98287.13,13549094,182833.00
25,40,50,5,5,1,20,13190416.30,13473708.00,134749.63,13549094,75386.00
25,40,50,5,5,2,20,13178087.15,13381258.00,92801.73,13549094,167836.00
25,40,70,1,1,1,20,13116037.10,13494420.00,184094.61,13549094,54674.00
25,40,70,1,1,2,20,13071184.95,13413543.00,135960.51,13549094,135551.00
25,40,70,1,2,1,20,13109730.40,13333914.00,119333.45,13549094,215180.00
25,40,70,1,2,2,20,13178262.55,13371727.00,120096.16,13549094,177367.00
25,40,70,1,5,1,20,13039377.70,13306751.00,129915.88,13549094,242343.00
25,40,70,1,5,2,20,13158701.70,13360310.00,84815.00,13549094,188784.00
25,40,70,2,1,1,20,13212016.40,13482886.00,156499.24,13549094,66208.00
