MutationRate,CrossoverRate,PopulationSize,NumGenerations,ElitismRate,MeanBestFitness,StdDevBestFitness,MeanGlobalFitness,StdDevGlobalFitness
1,60,50,50,5,0.00214178,0.00215732,0.614295,0.171447
1,60,50,50,25,0.00485465,0.0119265,0.305522,0.149555
1,60,50,50,50,0.0069888,0.0145383,0.518274,0.123143
1,60,50,100,5,6.217e-05,7.43574e-05,0.354938,0.102092
1,60,50,100,25,7.89527e-06,1.57608e-05,0.173789,0.0681799
1,60,50,100,50,0.00413258,0.00731056,0.221027,0.0221261
1,60,50,300,5,7.54564e-08,2.24284e-07,0.113068,0.060052
1,60,50,300,25,0.00260252,0.00573689,0.0643299,0.0179989
1,60,50,300,50,0.00370137,0.00744646,0.0650562,0.0203805
1,60,100,50,5,0.00075193,0.000729008,0.383015,0.0683103
1,60,100,50,25,6.73273e-05,4.66258e-05,0.29545,0.0664153
1,60,100,50,50,0.00031231,0.000189259,0.293754,0.0914403
1,60,100,100,5,2.53236e-07,3.16058e-07,0.139229,0.0712515
1,60,100,100,25,5.41781e-08,8.79076e-08,0.161624,0.04508
1,60,100,100,50,2.54536e-07,1.65403e-07,0.147494,0.0573021
1,60,100,300,5,1.14979e-10,6.60623e-11,0.0603995,0.0205726
1,60,100,300,25,1.35367e-07,4.06099e-07,0.0405738,0.0141961
1,60,100,300,50,1.14944e-09,3.44832e-09,0.0471441,0.0197233
1,60,500,50,5,1.0119e-05,9.19847e-06,0.139426,0.0485967
1,60,500,50,25,8.78396e-06,6.92324e-06,0.133447,0.0419831
1,60,500,50,50,8.36598e-05,4.02815e-05,0.155351,0.037151
1,60,500,100,5,1.47775e-09,1.61182e-09,0.0732558,0.0342678
1,60,500,100,25,5.78648e-10,3.02041e-10,0.0690663,0.0192651
1,60,500,100,50,8.39637e-09,5.89863e-09,0.0746932,0.0189578
1,60,500,300,5,7.12402e-11,2.17552e-11,0.0301737,0.00948411
1,60,500,300,25,2.81553e-14,3.20848e-14,0.0250474,0.00744668
1,60,500,300,50,4.44089e-16,0,0.0309517,0.0086918
1,80,50,50,5,0.00668519,0.00543127,0.478034,0.218378
1,80,50,50,25,0.0001473,0.000222614,0.323554,0.12744
1,80,50,50,50,0.000884374,0.00117764,0.358268,0.0700008
1,80,50,100,5,0.000146038,0.00032684,0.276624,0.0984072
1,80,50,100,25,5.25552e-07,1.30459e-06,0.197609,0.0476302
1,80,50,100,50,0.00829593,0.0199095,0.19218,0.0683182
1,80,50,300,5,8.41411e-11,5.42145e-11,0.0767918,0.0273183
1,80,50,300,25,4.41535e-06,1.28229e-05,0.0542797,0.0107887
1,80,50,300,50,4.56543e-08,1.22245e-07,0.0545989,0.0142601
1,80,100,50,5,0.000149401,0.000111769,0.265333,0.0962338
1,80,100,50,25,1.69062e-05,1.6736e-05,0.224426,0.0658185
1,80,100,50,50,0.000187699,0.000219845,0.274295,0.0803
1,80,100,100,5,1.18176e-07,1.29591e-07,0.170125,0.0904455
1,80,100,100,25,8.50191e-10,5.04886e-10,0.129833,0.0412466
1,80,100,100,50,9.89077e-09,6.13379e-09,0.125999,0.0349776
1,80,100,300,5,6.56891e-11,4.04867e-11,0.0471019,0.0168356
1,80,100,300,25,2.0176e-07,6.05281e-07,0.0379448,0.0124766
1,80,100,300,50,4.44089e-16,0,0.0447144,0.015793
1,80,500,50,5,2.23556e-05,2.93329e-05,0.155741,0.039024
1,80,500,50,25,6.19346e-06,1.89012e-06,0.126237,0.0247185
1,80,500,50,50,2.18338e-05,1.05906e-05,0.15041,0.0469408
1,80,500,100,5,4.06838e-10,2.75755e-10,0.0509766,0.0156537
1,80,500,100,25,1.26388e-10,7.27601e-11,0.062599,0.020084
1,80,500,100,50,1.55424e-09,9.85875e-10,0.0613558,0.0184288
1,80,500,300,5,4.90403e-11,2.30034e-11,0.023349,0.00651987
1,80,500,300,25,4.44089e-16,0,0.020501,0.00478981
1,80,500,300,50,4.44089e-16,0,0.022794,0.00668807
1,100,50,50,5,0.00253651,0.00408343,0.351743,0.097343
1,100,50,50,25,3.57664e-05,3.56259e-05,0.313075,0.0963171
1,100,50,50,50,0.000301187,0.000373577,0.331755,0.0613839
1,100,50,100,5,2.33512e-05,5.31775e-05,0.241896,0.0801796
1,100,50,100,25,0.00332077,0.00860024,0.146581,0.0297307
1,100,50,100,50,0.0733306,0.219961,0.229997,0.213528
1,100,50,300,5,3.28414e-11,1.53741e-11,0.0653677,0.0281675
1,100,50,300,25,6.83173e-05,0.000181165,0.047669,0.0107654
1,100,50,300,50,0.00139427,0.00376572,0.0581088,0.0195175
1,100,100,50,5,0.000379531,0.000939739,0.261601,0.0866481
1,100,100,50,25,7.23736e-06,7.4219e-06,0.217418,0.0549383
1,100,100,50,50,3.04615e-05,2.16535e-05,0.242165,0.0969484
1,100,100,100,5,6.56319e-09,5.93158e-09,0.125978,0.0333777
1,100,100,100,25,1.34639e-10,1.88485e-10,0.0874604,0.0280797
1,100,100,100,50,1.80981e-09,1.87543e-09,0.126362,0.0293969
1,100,100,300,5,8.2637e-12,3.83002e-12,0.0343258,0.0152444
1,100,100,300,25,4.44089e-16,0,0.0334258,0.0116192
1,100,100,300,50,4.44089e-16,0,0.0442195,0.0151092
1,100,500,50,5,4.13004e-06,4.57043e-06,0.103007,0.0373458
1,100,500,50,25,1.64398e-06,8.5448e-07,0.100924,0.032298
1,100,500,50,50,1.16172e-05,5.54932e-06,0.115866,0.0176008
1,100,500,100,5,3.18495e-10,1.7216e-10,0.0569633,0.0211786
1,100,500,100,25,1.53276e-11,7.526e-12,0.0559881,0.0208951
1,100,500,100,50,2.79708e-10,1.14541e-10,0.0604652,0.0252696
1,100,500,300,5,2.22018e-12,1.16429e-12,0.018785,0.00512737
1,100,500,300,25,4.44089e-16,0,0.0192216,0.00582708
1,100,500,300,50,4.44089e-16,0,0.0255057,0.00524637
5,60,50,50,5,0.00990851,0.010932,0.624578,0.274542
5,60,50,50,25,0.0018263,0.00378456,0.382479,0.125187
5,60,50,50,50,0.00240798,0.00281963,0.381927,0.093171
5,60,50,100,5,0.000349986,0.000519435,0.287527,0.172312
5,60,50,100,25,7.45692e-06,1.77823e-05,0.224343,0.0496767
5,60,50,100,50,0.0105632,0.0200783,0.265696,0.0702366
5,60,50,300,5,3.97043e-09,9.01988e-09,0.103511,0.0453451
5,60,50,300,25,0.000246789,0.000656823,0.0791744,0.0250496
5,60,50,300,50,0.00101058,0.00288862,0.0785459,0.0245184
5,60,100,50,5,0.00102995,0.000956971,0.340021,0.153997
5,60,100,50,25,0.000479978,0.000614152,0.292852,0.099233
5,60,100,50,50,0.000463513,0.000301588,0.349742,0.0839306
5,60,100,100,5,5.83575e-07,1.13207e-06,0.185136,0.0681661
5,60,100,100,25,3.23484e-07,8.97319e-07,0.145692,0.0305276
5,60,100,100,50,4.8465e-07,5.66299e-07,0.134667,0.0311435
5,60,100,300,5,1.07763e-10,5.26909e-11,0.0573734,0.0153064
5,60,100,300,25,9.8303e-08,2.94908e-07,0.0518479,0.0116489
5,60,100,300,50,4.44089e-16,0,0.0505887,0.0153229
5,60,500,50,5,6.74301e-06,8.36116e-06,0.160238,0.0556195
5,60,500,50,25,1.02767e-05,8.01109e-06,0.144101,0.0489676
5,60,500,50,50,0.000109324,5.90151e-05,0.148965,0.0271075
5,60,500,100,5,7.11168e-10,4.56636e-10,0.0876965,0.0267552
5,60,500,100,25,7.52978e-10,6.20874e-10,0.0916513,0.0271971
5,60,500,100,50,1.8701e-08,8.22425e-09,0.0860929,0.0230024
5,60,500,300,5,5.38752e-11,2.4067e-11,0.0320585,0.00835467
5,60,500,300,25,1.78524e-14,2.45857e-14,0.0223813,0.00822478
5,60,500,300,50,4.44089e-16,0,0.0281284,0.00587626
5,80,50,50,5,0.00134247,0.00121339,0.362178,0.16941
5,80,50,50,25,0.000307814,0.000417936,0.358226,0.117349
5,80,50,50,50,0.00161781,0.00231511,0.343596,0.120639
5,80,50,100,5,9.8547e-05,0.000152565,0.322021,0.129842
5,80,50,100,25,2.62138e-05,7.84376e-05,0.161187,0.0461038
5,80,50,100,50,0.00228858,0.00453272,0.16612,0.0599789
5,80,50,300,5,2.20903e-10,4.49309e-10,0.0850259,0.0368002
5,80,50,300,25,1.43234e-05,4.29702e-05,0.0614072,0.0193511
5,80,50,300,50,0.0012518,0.00359889,0.0588095,0.00998709
5,80,100,50,5,0.000934056,0.00199694,0.354283,0.138019
5,80,100,50,25,0.000176373,0.000309458,0.267238,0.0796358
5,80,100,50,50,0.000174741,0.000162381,0.269985,0.0732763
5,80,100,100,5,4.12476e-08,4.73217e-08,0.13097,0.0425565
5,80,100,100,25,4.73768e-09,7.1781e-09,0.120143,0.0207252
5,80,100,100,50,3.07903e-07,7.52188e-07,0.13797,0.0352736
5,80,100,300,5,5.92174e-11,1.11816e-11,0.0545413,0.0219432
5,80,100,300,25,4.44089e-16,0,0.0413072,0.0109467
5,80,100,300,50,4.44089e-16,0,0.0458596,0.010007
5,80,500,50,5,3.35273e-06,3.77311e-06,0.155418,0.0682442
5,80,500,50,25,7.04543e-06,4.15503e-06,0.138126,0.0415952
5,80,500,50,50,3.96334e-05,1.62278e-05,0.152911,0.0598086
5,80,500,100,5,2.78097e-10,2.26759e-10,0.0759774,0.0261392
5,80,500,100,25,1.64298e-10,7.66613e-11,0.0564124,0.0117768
5,80,500,100,50,3.90139e-09,3.27953e-09,0.0662399,0.0134882
5,80,500,300,5,3.59571e-11,2.18013e-11,0.0239217,0.00954722
5,80,500,300,25,4.44089e-16,0,0.0169179,0.00571752
5,80,500,300,50,4.44089e-16,0,0.0258709,0.00563165
5,100,50,50,5,0.000799062,0.00108729,0.378015,0.128032
5,100,50,50,25,0.00031565,0.000825621,0.274961,0.0641709
5,100,50,50,50,0.000509925,0.000975639,0.310369,0.103565
5,100,50,100,5,9.96174e-06,2.10795e-05,0.234708,0.0601578
5,100,50,100,25,7.9305e-05,0.000197344,0.129347,0.0445354
5,100,50,100,50,0.00285375,0.00588908,0.199087,0.0693666
5,100,50,300,5,3.74741e-07,1.12408e-06,0.0709597,0.0201904
5,100,50,300,25,0.00019374,0.000413518,0.0465772,0.0183672
5,100,50,300,50,0.000189779,0.000561895,0.0551969,0.0160938
5,100,100,50,5,7.65468e-05,6.57348e-05,0.233307,0.0895534
5,100,100,50,25,1.76689e-05,1.60155e-05,0.213185,0.0538769
5,100,100,50,50,0.000148022,0.000208703,0.272745,0.114514
5,100,100,100,5,1.03885e-08,1.13576e-08,0.127687,0.0515614
5,100,100,100,25,2.18568e-10,1.0881e-10,0.115287,0.0320948
5,100,100,100,50,1.01799e-08,1.13643e-08,0.154041,0.0257097
5,100,100,300,5,8.52767e-12,5.2573e-12,0.0408233,0.011458
5,100,100,300,25,4.44089e-16,0,0.0337206,0.00867083
5,100,100,300,50,4.44089e-16,0,0.0441964,0.01172
5,100,500,50,5,1.4801e-06,1.26777e-06,0.109689,0.0307857
5,100,500,50,25,3.1653e-06,1.51124e-06,0.114284,0.0380731
5,100,500,50,50,2.35779e-05,1.0664e-05,0.106028,0.0415766
5,100,500,100,5,1.87658e-10,1.16437e-10,0.0612175,0.0164922
5,100,500,100,25,2.99566e-11,1.64893e-11,0.0504584,0.0120384
5,100,500,100,50,1.00231e-09,4.61804e-10,0.0770158,0.0136732
5,100,500,300,5,5.91971e-13,2.50829e-13,0.0194868,0.00552003
5,100,500,300,25,4.44089e-16,0,0.0174632,0.00406329
5,100,500,300,50,4.44089e-16,0,0.0226027,0.00749983
10,60,50,50,5,0.022104,0.0472261,0.596902,0.204834
10,60,50,50,25,0.00889352,0.0223322,0.461865,0.145653
10,60,50,50,50,0.00383016,0.00441261,0.458825,0.161626
10,60,50,100,5,0.00033269,0.000421987,0.362606,0.16558
10,60,50,100,25,0.00189275,0.00284342,0.224955,0.0830669
10,60,50,100,50,0.0034049,0.00491232,0.216751,0.0898438
10,60,50,300,5,3.41277e-05,0.000102356,0.12638,0.0433609
10,60,50,300,25,0.00100354,0.00158251,0.0709761,0.0347306
10,60,50,300,50,0.000288583,0.000423315,0.0666155,0.0278662
10,60,100,50,5,0.0011177,0.00133249,0.421954,0.131941
10,60,100,50,25,0.000655983,0.00090307,0.34034,0.084293
10,60,100,50,50,0.000547625,0.00034294,0.331008,0.0803366
10,60,100,100,5,1.16219e-06,2.43943e-06,0.217858,0.0994794
10,60,100,100,25,0.000173925,0.000334994,0.15974,0.0478552
10,60,100,100,50,7.28781e-06,1.6237e-05,0.191786,0.0560705
