Execucao,ind0,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind36,ind37,ind38,ind39,ind40,ind41,ind42,ind43,ind44,ind45,ind46,ind47,ind48,ind49,ind50,ind51,ind52,ind53,ind54,ind55,ind56,ind57,ind58,ind59,ind60,ind61,ind62,ind63,ind64,ind65,ind66,ind67,ind68,ind69,ind70,ind71,ind72,ind73,ind74,ind75,ind76,ind77,ind78,ind79,ind80,ind81,ind82,ind83,ind84,ind85,ind86,ind87,ind88,ind89,ind90,ind91,ind92,ind93,ind94,ind95,ind96,ind97,ind98,ind99
0,0,27520,27095,27095,26882,26527,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25387,25387,25387,25387,25387,25292,25292,25292,24674,24674,24674,24674,24674,24674,24674,24674,24674,24674,24674,24674,24264,24264,24264,24264,24264,24177,23648,22377,22377,22377,22377,21518,21518,21518,21518,21518,21518,21518,21518,21518,21496,21496,21496,21440,21420,21420,20900,20900,20899,20873,20873,20873,20629,20629,20629,20629,20536,20536,20404,20404,20404,20394,20157,20157,20157,20157,20157,20157,20157,20157,20157,20157,20157,20157,20157,20157,20157,20074,20074,20074,20074,20074,20074,20074,
1,0,27483,27483,27397,26279,26279,25916,25916,25916,25916,25916,25916,25916,25916,25916,25916,25916,25916,25916,25916,25916,25449,25449,25449,25449,25449,25449,25196,25196,25196,25196,24665,24665,24665,24665,24665,23247,23247,23247,23247,23247,23247,23247,23247,23247,23247,23046,23046,22362,22362,22362,22362,22362,22362,22362,22087,21576,21421,20983,20983,20983,20983,20983,20983,20983,20983,20983,20983,20983,20436,20436,20436,20436,20436,20436,20398,20075,19893,19893,19893,19893,19893,19830,19830,19830,19830,19735,19735,19735,19735,19735,19735,19735,19735,19735,19735,19735,19735,19735,19735,
2,0,27556,27556,27221,26723,26723,26723,26723,26617,26574,26574,26574,26574,26574,26574,26574,25827,25827,25827,25827,25827,25827,25369,25369,25369,25369,25369,25369,25334,25334,25334,25334,24483,24483,24483,24483,24483,24483,24064,24064,24064,23930,23468,23468,23230,23230,23078,23045,22208,22208,22208,22034,22034,22034,21476,21476,21476,21476,21476,21476,21476,21476,21127,21127,21103,20862,20862,20862,20862,20393,20134,20134,20134,20134,20134,20134,20134,20134,20134,20134,20134,20134,20134,20134,20134,20134,19914,19914,19914,19914,19914,19788,19757,19757,19757,19757,19757,19508,19508,19508,
3,0,27243,27220,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,24617,23851,23851,23851,23204,23204,23204,22573,22573,22573,22573,22573,22573,22573,22573,22535,22290,22290,21793,21793,21793,21793,21225,21225,21165,20851,20851,20851,20607,20607,20607,20607,20607,20607,20607,20607,20380,20380,20380,20380,20380,20380,20380,20363,20363,20363,20363,20363,20363,20363,20363,20363,20307,20307,20307,20307,20307,20271,20271,20271,20271,20271,
4,0,27494,27061,26530,26530,26359,26323,26323,26323,26323,26323,26323,26323,26323,25280,25280,25280,25280,25280,25280,25280,25280,25280,25280,25280,25280,25279,25279,25279,24988,24474,24474,24474,24474,24474,24474,24474,24474,24474,24474,24116,23261,23261,23261,23261,23261,23177,23177,23062,22500,22500,22500,22331,21788,21788,21788,21788,21655,21655,21655,21533,21533,21533,21533,21533,20767,20767,20767,20767,20767,20767,20714,20714,20714,20487,20487,20487,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,20357,
5,0,26336,25756,25756,25756,25756,25756,25756,25756,25756,25006,25006,25006,25006,25006,25006,25006,25006,25006,25006,25006,25006,25006,24891,24891,24891,24891,24891,24891,24891,24891,24891,24891,24891,24891,24891,24877,24877,24877,24527,24527,24527,24527,24366,23747,22486,22283,22283,22283,22283,22283,22091,22091,22091,22091,22091,22091,21943,21943,21943,21284,21284,21284,21284,20862,20862,20862,20862,20862,20862,20774,20774,20774,20774,20774,20774,20634,20634,20634,20634,20180,20180,20180,20180,20180,20054,20054,20054,20054,20054,19999,19999,19999,19999,19999,19897,19897,19897,19897,19842,
6,0,27430,27374,27374,27374,26547,26547,26547,26348,26348,26348,26232,26105,26105,26105,25725,25725,25725,25725,25725,25725,25725,25725,25725,25725,25725,24861,24861,24861,24861,24861,24861,24069,24069,24069,24069,24069,24069,24069,24069,24069,24069,24069,24069,22557,22557,22557,22557,22557,22557,22557,22557,21602,21602,21602,21602,21602,21602,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,21027,20395,20395,20395,20395,20395,20395,19896,19896,19896,19896,19896,19896,19896,19896,19896,19896,19896,19896,19896,19896,
7,0,27286,26484,26484,26484,26484,26484,26484,25369,25369,25369,25369,25369,25369,25369,25369,25369,25369,25319,25319,25319,25319,25319,25319,25319,25319,25319,25319,25319,25123,25123,25123,25123,24281,24281,24087,24087,24087,24087,24003,24003,23755,23755,23755,23440,22983,22823,22823,22823,21863,21863,21863,21863,21863,21863,21863,21738,21738,21738,21738,21691,21259,21212,21212,20305,20305,20305,20305,20305,20305,20305,20305,20305,20305,20305,20305,20305,20305,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,20035,19963,
8,0,26932,26629,26054,25767,25767,25767,25767,25767,25767,25767,25767,25767,25603,25603,25603,25603,25603,25603,25603,25603,25603,25603,25603,25603,25603,25603,25603,25429,25415,25415,25276,24565,24552,24552,24552,24552,24552,24265,24265,24265,24038,24038,23394,23349,23349,23349,22409,22409,22409,22409,21916,21916,21916,21916,21481,21190,21127,21127,21127,21127,21127,20895,20665,20665,20665,20665,20665,20463,20463,20463,20463,20463,20463,20463,20463,20463,20463,20463,20454,20454,20383,20383,20383,20155,20155,20155,20155,20155,20155,20155,20155,20155,20155,20155,20155,20155,20155,20155,20155,
9,0,26925,26226,26226,26226,26226,26226,26226,26226,26226,26226,26226,26226,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24958,24057,24057,24057,24057,24057,24057,23443,23443,23085,23085,23085,22648,22648,22648,22648,22648,22058,21944,21944,21944,21944,21841,21618,21209,21209,20792,20792,20792,20640,20601,20601,20601,20601,20175,20175,20175,20175,20175,20175,20002,20002,20002,20002,20002,20002,20002,20002,20002,19923,19923,19756,19756,19756,19756,19756,19756,19756,19756,19756,19756,19696,19696,19696,19696,19696,
