evaporationRates,maxIteration,alpha,beta,Q,epsilon,method,AverageFitness
0.1,50,1,1,10,3,1,296.4000
0.1000,50,1.0000,1.0000,10.0000,3.0000,2,293.0000
0.1000,50,1.0000,1.0000,10.0000,3.0000,3,291.2000
0.1000,50,1.0000,1.0000,10.0000,5.0000,1,295.4000
0.1000,50,1.0000,1.0000,10.0000,5.0000,2,292.8000
0.1000,50,1.0000,1.0000,10.0000,5.0000,3,291.2000
0.1000,50,1.0000,1.0000,10.0000,10.0000,1,294.0000
0.1000,50,1.0000,1.0000,10.0000,10.0000,2,297.0000
0.1000,50,1.0000,1.0000,10.0000,10.0000,3,291.4000
0.1000,50,1.0000,1.0000,100.0000,3.0000,1,295.7000
0.1000,50,1.0000,1.0000,100.0000,3.0000,2,293.2000
0.1000,50,1.0000,1.0000,100.0000,3.0000,3,295.6500
0.1000,50,1.0000,1.0000,100.0000,5.0000,1,293.8000
0.1000,50,1.0000,1.0000,100.0000,5.0000,2,293.4000
0.1000,50,1.0000,1.0000,100.0000,5.0000,3,296.7000
0.1000,50,1.0000,1.0000,100.0000,10.0000,1,292.2000
0.1000,50,1.0000,1.0000,100.0000,10.0000,2,298.2500
0.1000,50,1.0000,1.0000,100.0000,10.0000,3,294.2000
0.1000,50,1.0000,2.0000,10.0000,3.0000,1,291.0000
0.1000,50,1.0000,2.0000,10.0000,3.0000,2,291.0000
0.1000,50,1.0000,2.0000,10.0000,3.0000,3,291.0000
0.1000,50,1.0000,2.0000,10.0000,5.0000,1,291.0000
0.1000,50,1.0000,2.0000,10.0000,5.0000,2,291.0000
0.1000,50,1.0000,2.0000,10.0000,5.0000,3,291.0000
0.1000,50,1.0000,2.0000,10.0000,10.0000,1,291.0000
0.1000,50,1.0000,2.0000,10.0000,10.0000,2,292.8000
0.1000,50,1.0000,2.0000,10.0000,10.0000,3,291.0000
0.1000,50,1.0000,2.0000,100.0000,3.0000,1,291.0000
0.1000,50,1.0000,2.0000,100.0000,3.0000,2,291.0000
0.1000,50,1.0000,2.0000,100.0000,3.0000,3,293.0000
0.1000,50,1.0000,2.0000,100.0000,5.0000,1,291.0000
0.1000,50,1.0000,2.0000,100.0000,5.0000,2,291.0000
0.1000,50,1.0000,2.0000,100.0000,5.0000,3,291.0000
0.1000,50,1.0000,2.0000,100.0000,10.0000,1,291.0000
0.1000,50,1.0000,2.0000,100.0000,10.0000,2,291.0000
0.1000,50,1.0000,2.0000,100.0000,10.0000,3,293.0000
0.1000,50,1.0000,5.0000,10.0000,3.0000,1,291.0000
0.1000,50,1.0000,5.0000,10.0000,3.0000,2,291.0000
0.1000,50,1.0000,5.0000,10.0000,3.0000,3,291.0000
0.1000,50,1.0000,5.0000,10.0000,5.0000,1,291.0000
0.1000,50,1.0000,5.0000,10.0000,5.0000,2,291.0000
0.1000,50,1.0000,5.0000,10.0000,5.0000,3,291.0000
0.1000,50,1.0000,5.0000,10.0000,10.0000,1,291.0000
0.1000,50,1.0000,5.0000,10.0000,10.0000,2,291.0000
0.1000,50,1.0000,5.0000,10.0000,10.0000,3,291.0000
0.1000,50,1.0000,5.0000,100.0000,3.0000,1,291.0000
0.1000,50,1.0000,5.0000,100.0000,3.0000,2,291.0000
0.1000,50,1.0000,5.0000,100.0000,3.0000,3,291.0000
0.1000,50,1.0000,5.0000,100.0000,5.0000,1,291.0000
0.1000,50,1.0000,5.0000,100.0000,5.0000,2,291.0000
0.1000,50,1.0000,5.0000,100.0000,5.0000,3,291.0000
0.1000,50,1.0000,5.0000,100.0000,10.0000,1,291.0000
0.1000,50,1.0000,5.0000,100.0000,10.0000,2,291.0000
0.1000,50,1.0000,5.0000,100.0000,10.0000,3,291.0000
0.1000,50,2.5000,1.0000,10.0000,3.0000,1,306.1500
0.1000,50,2.5000,1.0000,10.0000,3.0000,2,318.7000
0.1000,50,2.5000,1.0000,10.0000,3.0000,3,299.8500
0.1000,50,2.5000,1.0000,10.0000,5.0000,1,301.9000
0.1000,50,2.5000,1.0000,10.0000,5.0000,2,333.6500
0.1000,50,2.5000,1.0000,10.0000,5.0000,3,299.7500
0.1000,50,2.5000,1.0000,10.0000,10.0000,1,306.4500
0.1000,50,2.5000,1.0000,10.0000,10.0000,2,363.2500
0.1000,50,2.5000,1.0000,10.0000,10.0000,3,303.3000
0.1000,50,2.5000,1.0000,100.0000,3.0000,1,335.7000
0.1000,50,2.5000,1.0000,100.0000,3.0000,2,358.1500
0.1000,50,2.5000,1.0000,100.0000,3.0000,3,358.3000
0.1000,50,2.5000,1.0000,100.0000,5.0000,1,346.0500
0.1000,50,2.5000,1.0000,100.0000,5.0000,2,372.6000
0.1000,50,2.5000,1.0000,100.0000,5.0000,3,373.6500
0.1000,50,2.5000,1.0000,100.0000,10.0000,1,348.7000
0.1000,50,2.5000,1.0000,100.0000,10.0000,2,409.4500
0.1000,50,2.5000,1.0000,100.0000,10.0000,3,357.6500
0.1000,50,2.5000,2.0000,10.0000,3.0000,1,293.8000
0.1000,50,2.5000,2.0000,10.0000,3.0000,2,299.1000
0.1000,50,2.5000,2.0000,10.0000,3.0000,3,294.0000
0.1000,50,2.5000,2.0000,10.0000,5.0000,1,292.4000
0.1000,50,2.5000,2.0000,10.0000,5.0000,2,300.0000
0.1000,50,2.5000,2.0000,10.0000,5.0000,3,292.4000
0.1000,50,2.5000,2.0000,10.0000,10.0000,1,291.8000
0.1000,50,2.5000,2.0000,10.0000,10.0000,2,313.8000
0.1000,50,2.5000,2.0000,10.0000,10.0000,3,293.2000
0.1000,50,2.5000,2.0000,100.0000,3.0000,1,298.2000
0.1000,50,2.5000,2.0000,100.0000,3.0000,2,314.4500
0.1000,50,2.5000,2.0000,100.0000,3.0000,3,315.4000
0.1000,50,2.5000,2.0000,100.0000,5.0000,1,300.8000
0.1000,50,2.5000,2.0000,100.0000,5.0000,2,316.4000
0.1000,50,2.5000,2.0000,100.0000,5.0000,3,327.1500
0.1000,50,2.5000,2.0000,100.0000,10.0000,1,298.8000
0.1000,50,2.5000,2.0000,100.0000,10.0000,2,339.5000
0.1000,50,2.5000,2.0000,100.0000,10.0000,3,329.1500
0.1000,50,2.5000,5.0000,10.0000,3.0000,1,291.2000
0.1000,50,2.5000,5.0000,10.0000,3.0000,2,291.2000
0.1000,50,2.5000,5.0000,10.0000,3.0000,3,291.0000
0.1000,50,2.5000,5.0000,10.0000,5.0000,1,291.0000
0.1000,50,2.5000,5.0000,10.0000,5.0000,2,291.2000
0.1000,50,2.5000,5.0000,10.0000,5.0000,3,291.0000
0.1000,50,2.5000,5.0000,10.0000,10.0000,1,291.0000
0.1000,50,2.5000,5.0000,10.0000,10.0000,2,291.8000
0.1000,50,2.5000,5.0000,10.0000,10.0000,3,291.0000
0.1000,50,2.5000,5.0000,100.0000,3.0000,1,291.0000
0.1000,50,2.5000,5.0000,100.0000,3.0000,2,291.4000
0.1000,50,2.5000,5.0000,100.0000,3.0000,3,292.4000
0.1000,50,2.5000,5.0000,100.0000,5.0000,1,291.4000
0.1000,50,2.5000,5.0000,100.0000,5.0000,2,291.8000
0.1000,50,2.5000,5.0000,100.0000,5.0000,3,293.6000
0.1000,50,2.5000,5.0000,100.0000,10.0000,1,291.0000
0.1000,50,2.5000,5.0000,100.0000,10.0000,2,293.4000
0.1000,50,2.5000,5.0000,100.0000,10.0000,3,295.4000
0.1000,100,1.0000,1.0000,10.0000,3.0000,1,291.0000
0.1000,100,1.0000,1.0000,10.0000,3.0000,2,291.4000
0.1000,100,1.0000,1.0000,10.0000,3.0000,3,291.0000
0.1000,100,1.0000,1.0000,10.0000,5.0000,1,291.0000
0.1000,100,1.0000,1.0000,10.0000,5.0000,2,292.0000
0.1000,100,1.0000,1.0000,10.0000,5.0000,3,291.0000
0.1000,100,1.0000,1.0000,10.0000,10.0000,1,291.0000
0.1000,100,1.0000,1.0000,10.0000,10.0000,2,292.8000
0.1000,100,1.0000,1.0000,10.0000,10.0000,3,291.2000
0.1000,100,1.0000,1.0000,100.0000,3.0000,1,291.0000
0.1000,100,1.0000,1.0000,100.0000,3.0000,2,291.2000
0.1000,100,1.0000,1.0000,100.0000,3.0000,3,294.4000
0.1000,100,1.0000,1.0000,100.0000,5.0000,1,291.0000
0.1000,100,1.0000,1.0000,100.0000,5.0000,2,292.2000
0.1000,100,1.0000,1.0000,100.0000,5.0000,3,295.0000
0.1000,100,1.0000,1.0000,100.0000,10.0000,1,291.4000
0.1000,100,1.0000,1.0000,100.0000,10.0000,2,295.5000
0.1000,100,1.0000,1.0000,100.0000,10.0000,3,291.6000
0.1000,100,1.0000,2.0000,10.0000,3.0000,1,291.0000
0.1000,100,1.0000,2.0000,10.0000,3.0000,2,291.0000
0.1000,100,1.0000,2.0000,10.0000,3.0000,3,291.0000
0.1000,100,1.0000,2.0000,10.0000,5.0000,1,291.0000
0.1000,100,1.0000,2.0000,10.0000,5.0000,2,291.0000
0.1000,100,1.0000,2.0000,10.0000,5.0000,3,291.0000
0.1000,100,1.0000,2.0000,10.0000,10.0000,1,291.0000
0.1000,100,1.0000,2.0000,10.0000,10.0000,2,291.0000
0.1000,100,1.0000,2.0000,10.0000,10.0000,3,291.0000
0.1000,100,1.0000,2.0000,100.0000,3.0000,1,291.0000
0.1000,100,1.0000,2.0000,100.0000,3.0000,2,291.0000
0.1000,100,1.0000,2.0000,100.0000,3.0000,3,292.0000
0.1000,100,1.0000,2.0000,100.0000,5.0000,1,291.0000
0.1000,100,1.0000,2.0000,100.0000,5.0000,2,291.0000
0.1000,100,1.0000,2.0000,100.0000,5.0000,3,291.6000
0.1000,100,1.0000,2.0000,100.0000,10.0000,1,291.0000
0.1000,100,1.0000,2.0000,100.0000,10.0000,2,291.4000
0.1000,100,1.0000,2.0000,100.0000,10.0000,3,291.2000
0.1000,100,1.0000,5.0000,10.0000,3.0000,1,291.0000
0.1000,100,1.0000,5.0000,10.0000,3.0000,2,291.0000
0.1000,100,1.0000,5.0000,10.0000,3.0000,3,291.0000
0.1000,100,1.0000,5.0000,10.0000,5.0000,1,291.0000
0.1000,100,1.0000,5.0000,10.0000,5.0000,2,291.0000
0.1000,100,1.0000,5.0000,10.0000,5.0000,3,291.0000
0.1000,100,1.0000,5.0000,10.0000,10.0000,1,291.0000
0.1000,100,1.0000,5.0000,10.0000,10.0000,2,291.0000
0.1000,100,1.0000,5.0000,10.0000,10.0000,3,291.0000
0.1000,100,1.0000,5.0000,100.0000,3.0000,1,291.0000
0.1000,100,1.0000,5.0000,100.0000,3.0000,2,291.0000
0.1000,100,1.0000,5.0000,100.0000,3.0000,3,291.0000
0.1000,100,1.0000,5.0000,100.0000,5.0000,1,291.0000
0.1000,100,1.0000,5.0000,100.0000,5.0000,2,291.0000
0.1000,100,1.0000,5.0000,100.0000,5.0000,3,291.0000
0.1000,100,1.0000,5.0000,100.0000,10.0000,1,291.0000
0.1000,100,1.0000,5.0000,100.0000,10.0000,2,291.0000
0.1000,100,1.0000,5.0000,100.0000,10.0000,3,291.0000
0.1000,100,2.5000,1.0000,10.0000,3.0000,1,314.2000
0.1000,100,2.5000,1.0000,10.0000,3.0000,2,309.8000
0.1000,100,2.5000,1.0000,10.0000,3.0000,3,300.6500
0.1000,100,2.5000,1.0000,10.0000,5.0000,1,303.4000
0.1000,100,2.5000,1.0000,10.0000,5.0000,2,340.1000
0.1000,100,2.5000,1.0000,10.0000,5.0000,3,298.6500
0.1000,100,2.5000,1.0000,10.0000,10.0000,1,302.9500
0.1000,100,2.5000,1.0000,10.0000,10.0000,2,364.2500
