Run,Generation,BestCost
1,0,24532
1,1,23544
1,2,23544
1,3,23544
1,4,23544
1,5,23544
1,6,23544
1,7,23544
1,8,23544
1,9,23544
1,10,23544
1,11,23544
1,12,23544
1,13,23544
1,14,23544
1,15,23544
1,16,23544
1,17,23544
1,18,23544
1,19,23544
1,20,23544
1,21,23544
1,22,23544
1,23,23544
1,24,23544
1,25,23544
1,26,23544
1,27,23544
1,28,23544
1,29,23544
1,30,23544
1,31,23544
1,32,23544
1,33,23544
1,34,23544
1,35,23544
1,36,23544
1,37,23544
1,38,23544
1,39,23544
1,40,23544
1,41,23544
1,42,23544
1,43,23544
1,44,23544
1,45,23544
1,46,23544
1,47,23544
1,48,23544
1,49,23544
1,50,23544
1,51,23544
2,0,24397
2,1,23758
2,2,23758
2,3,23758
2,4,23758
2,5,23758
2,6,23758
2,7,23758
2,8,23758
2,9,23758
2,10,23758
2,11,23758
2,12,23758
2,13,23758
2,14,23758
2,15,23758
2,16,23758
2,17,23758
2,18,23758
2,19,23758
2,20,23758
2,21,23758
2,22,23758
2,23,23758
2,24,23758
2,25,23758
2,26,23758
2,27,23758
2,28,23758
2,29,23758
2,30,23758
2,31,23758
2,32,23758
2,33,23758
2,34,23758
2,35,23758
2,36,23758
2,37,23758
2,38,23758
2,39,23758
2,40,23758
2,41,23758
2,42,23758
2,43,23758
2,44,23758
2,45,23758
2,46,23758
2,47,23758
2,48,23758
2,49,23758
2,50,23758
2,51,23758
3,0,24319
3,1,24234
3,2,24234
3,3,24234
3,4,24234
3,5,24234
3,6,24234
3,7,24234
3,8,24234
3,9,24234
3,10,24234
3,11,24234
3,12,24234
3,13,24234
3,14,24234
3,15,24234
3,16,24234
3,17,24234
3,18,24234
3,19,24234
3,20,24234
3,21,24234
3,22,24234
3,23,24234
3,24,24234
3,25,24234
3,26,24234
3,27,24234
3,28,24234
3,29,24234
3,30,24234
3,31,24234
3,32,24234
3,33,24234
3,34,24234
3,35,24234
3,36,24234
3,37,24234
3,38,24234
3,39,24234
3,40,24234
3,41,24234
3,42,24234
3,43,24234
3,44,24234
3,45,24234
3,46,24234
3,47,24234
3,48,24234
3,49,24234
3,50,24234
3,51,24234
4,0,24158
4,1,23710
4,2,23710
4,3,23710
4,4,23710
4,5,23710
4,6,23710
4,7,23710
4,8,23710
4,9,23710
4,10,23710
4,11,23710
4,12,23710
4,13,23710
4,14,23710
4,15,23710
4,16,23710
4,17,23710
4,18,23710
4,19,23710
4,20,23710
4,21,23710
4,22,23710
4,23,23710
4,24,23710
4,25,23710
4,26,23710
4,27,23710
4,28,23710
4,29,23710
4,30,23710
4,31,23710
4,32,23710
4,33,23710
4,34,23710
4,35,23710
4,36,23710
4,37,23710
4,38,23710
4,39,23710
4,40,23710
4,41,23710
4,42,23710
4,43,23710
4,44,23710
4,45,23710
4,46,23710
4,47,23710
4,48,23710
4,49,23710
4,50,23710
4,51,23710
5,0,23987
5,1,22798
5,2,22798
5,3,22798
5,4,22798
5,5,22798
5,6,22798
5,7,22798
5,8,22798
5,9,22798
5,10,22798
5,11,22798
5,12,22798
5,13,22798
5,14,22798
5,15,22798
5,16,22798
5,17,22798
5,18,22798
5,19,22798
5,20,22798
5,21,22798
5,22,22798
5,23,22798
5,24,22798
5,25,22798
5,26,22798
5,27,22798
5,28,22798
5,29,22798
5,30,22798
5,31,22798
5,32,22798
5,33,22798
5,34,22798
5,35,22798
5,36,22798
5,37,22798
5,38,22798
5,39,22798
5,40,22798
5,41,22798
5,42,22798
5,43,22798
5,44,22798
5,45,22798
5,46,22798
5,47,22798
5,48,22798
5,49,22798
5,50,22798
5,51,22798
6,0,24183
6,1,23385
6,2,23385
6,3,23385
6,4,23385
6,5,23385
6,6,23385
6,7,23385
6,8,23385
6,9,23385
6,10,23385
6,11,23385
6,12,23385
6,13,23385
6,14,23385
6,15,23385
6,16,23385
6,17,23385
6,18,23385
6,19,23385
6,20,23385
6,21,23385
6,22,23385
6,23,23385
6,24,23385
6,25,23385
6,26,23385
6,27,23385
6,28,23385
6,29,23385
6,30,23385
6,31,23385
6,32,23385
6,33,23385
6,34,23385
6,35,23385
6,36,23385
6,37,23385
6,38,23385
6,39,23385
6,40,23385
6,41,23385
6,42,23385
6,43,23385
6,44,23385
6,45,23385
6,46,23385
6,47,23385
6,48,23385
6,49,23385
6,50,23385
6,51,23385
7,0,25530
7,1,22939
7,2,22939
7,3,22939
7,4,22939
7,5,22939
7,6,22939
7,7,22939
7,8,22939
7,9,22939
7,10,22939
7,11,22939
7,12,22939
7,13,22939
7,14,22939
7,15,22939
7,16,22939
7,17,22939
7,18,22939
7,19,22939
7,20,22939
7,21,22939
7,22,22939
7,23,22939
7,24,22939
7,25,22939
7,26,22939
7,27,22939
7,28,22939
7,29,22939
7,30,22939
7,31,22939
7,32,22939
7,33,22939
7,34,22939
7,35,22939
7,36,22939
7,37,22939
7,38,22939
7,39,22939
7,40,22939
7,41,22939
7,42,22939
7,43,22939
7,44,22939
7,45,22939
7,46,22939
7,47,22939
7,48,22939
7,49,22939
7,50,22939
7,51,22939
8,0,24422
8,1,23162
8,2,23162
8,3,23162
8,4,23162
8,5,23162
8,6,23162
8,7,23162
8,8,23162
8,9,23162
8,10,23162
8,11,23162
8,12,23162
8,13,23162
8,14,23162
8,15,23162
8,16,23162
8,17,23162
8,18,23162
8,19,23162
8,20,23162
8,21,23162
8,22,23162
8,23,23162
8,24,23162
8,25,23162
8,26,23162
8,27,23162
8,28,23162
8,29,23162
8,30,23162
8,31,23162
8,32,23162
8,33,23162
8,34,23162
8,35,23162
8,36,23162
8,37,23162
8,38,23162
8,39,23162
8,40,23162
8,41,23162
8,42,23162
8,43,23162
8,44,23162
8,45,23162
8,46,23162
8,47,23162
8,48,23162
8,49,23162
8,50,23162
8,51,23162
9,0,25152
9,1,22553
9,2,22553
9,3,22553
9,4,22553
9,5,22553
9,6,22553
9,7,22553
9,8,22553
9,9,22553
9,10,22553
9,11,22553
9,12,22553
9,13,22553
9,14,22553
9,15,22553
9,16,22553
9,17,22553
9,18,22553
9,19,22553
9,20,22553
9,21,22553
9,22,22553
9,23,22553
9,24,22553
9,25,22553
9,26,22553
9,27,22553
9,28,22553
9,29,22553
9,30,22553
9,31,22553
9,32,22553
9,33,22553
9,34,22553
9,35,22553
9,36,22553
9,37,22553
9,38,22553
9,39,22553
9,40,22553
9,41,22553
9,42,22553
9,43,22553
9,44,22553
9,45,22553
9,46,22553
9,47,22553
9,48,22553
9,49,22553
9,50,22553
9,51,22553
10,0,24807
10,1,23512
10,2,23512
10,3,23512
10,4,23512
10,5,23512
10,6,23512
10,7,23512
10,8,23512
10,9,23512
10,10,23512
10,11,23512
10,12,23512
10,13,23512
10,14,23512
10,15,23512
10,16,23512
10,17,23512
10,18,23512
10,19,23512
10,20,23512
10,21,23512
10,22,23512
10,23,23512
10,24,23512
10,25,23512
10,26,23512
10,27,23512
10,28,23512
10,29,23512
10,30,23512
10,31,23512
10,32,23512
10,33,23512
10,34,23512
10,35,23512
10,36,23512
10,37,23512
10,38,23512
10,39,23512
10,40,23512
10,41,23512
10,42,23512
10,43,23512
10,44,23512
10,45,23512
10,46,23512
10,47,23512
10,48,23512
10,49,23512
10,50,23512
10,51,23512
11,0,24542
11,1,23414
11,2,23414
11,3,23414
11,4,23414
11,5,23414
11,6,23414
11,7,23414
11,8,23414
11,9,23414
11,10,23414
11,11,23414
11,12,23414
11,13,23414
11,14,23414
11,15,23414
11,16,23414
11,17,23414
11,18,23414
11,19,23414
11,20,23414
11,21,23414
11,22,23414
11,23,23414
11,24,23414
11,25,23414
11,26,23414
11,27,23414
11,28,23414
11,29,23414
11,30,23414
11,31,23414
11,32,23414
11,33,23414
11,34,23414
11,35,23414
11,36,23414
11,37,23414
11,38,23414
11,39,23414
11,40,23414
11,41,23414
11,42,23414
11,43,23414
11,44,23414
11,45,23414
11,46,23414
11,47,23414
11,48,23414
11,49,23414
11,50,23414
11,51,23414
12,0,23350
12,1,23234
12,2,23234
12,3,23234
12,4,23234
12,5,23234
12,6,23234
12,7,23234
12,8,23234
12,9,23234
12,10,23234
12,11,23234
12,12,23234
12,13,23234
12,14,23234
12,15,23234
12,16,23234
12,17,23234
12,18,23234
12,19,23234
12,20,23234
12,21,23234
12,22,23234
12,23,23234
12,24,23234
12,25,23234
12,26,23234
12,27,23234
12,28,23234
12,29,23234
12,30,23234
12,31,23234
12,32,23234
12,33,23234
12,34,23234
12,35,23234
12,36,23234
12,37,23234
12,38,23234
12,39,23234
12,40,23234
12,41,23234
12,42,23234
12,43,23234
12,44,23234
12,45,23234
12,46,23234
12,47,23234
12,48,23234
12,49,23234
12,50,23234
12,51,23234
13,0,23670
13,1,23670
13,2,23670
13,3,23670
13,4,23670
13,5,23670
13,6,23670
13,7,23670
13,8,23670
13,9,23670
13,10,23670
13,11,23670
13,12,23670
13,13,23670
13,14,23670
13,15,23670
13,16,23670
13,17,23670
13,18,23670
13,19,23670
13,20,23670
13,21,23670
13,22,23670
13,23,23670
13,24,23670
13,25,23670
13,26,23670
13,27,23670
13,28,23670
13,29,23670
13,30,23670
13,31,23670
13,32,23670
13,33,23670
13,34,23670
13,35,23670
13,36,23670
13,37,23670
13,38,23670
13,39,23670
13,40,23670
13,41,23670
13,42,23670
13,43,23670
13,44,23670
13,45,23670
13,46,23670
13,47,23670
13,48,23670
13,49,23670
13,50,23670
14,0,24784
14,1,23202
14,2,23202
14,3,23202
14,4,23202
14,5,23202
14,6,23202
14,7,23202
14,8,23202
14,9,23202
14,10,23202
14,11,23202
14,12,23202
14,13,23202
14,14,23202
14,15,23202
14,16,23202
14,17,23202
14,18,23202
14,19,23202
14,20,23202
14,21,23202
14,22,23202
14,23,23202
14,24,23202
14,25,23202
14,26,23202
14,27,23202
14,28,23202
14,29,23202
14,30,23202
14,31,23202
14,32,23202
14,33,23202
14,34,23202
14,35,23202
14,36,23202
14,37,23202
14,38,23202
14,39,23202
14,40,23202
14,41,23202
14,42,23202
14,43,23202
14,44,23202
14,45,23202
14,46,23202
14,47,23202
14,48,23202
14,49,23202
14,50,23202
14,51,23202
15,0,25038
15,1,23568
15,2,23568
15,3,23568
15,4,23568
15,5,23568
15,6,23568
15,7,23568
15,8,23568
15,9,23568
15,10,23568
15,11,23568
15,12,23568
15,13,23568
15,14,23568
15,15,23568
15,16,23568
15,17,23568
15,18,23568
15,19,23568
15,20,23568
15,21,23568
15,22,23568
15,23,23568
15,24,23568
15,25,23568
15,26,23568
15,27,23568
15,28,23568
15,29,23568
15,30,23568
15,31,23568
15,32,23568
15,33,23568
15,34,23568
15,35,23568
15,36,23568
15,37,23568
15,38,23568
15,39,23568
15,40,23568
15,41,23568
15,42,23568
15,43,23568
15,44,23568
15,45,23568
15,46,23568
15,47,23568
15,48,23568
15,49,23568
15,50,23568
15,51,23568
16,0,26791
16,1,23152
16,2,23152
16,3,23152
16,4,23152
16,5,23152
16,6,23152
16,7,23152
16,8,23152
16,9,23152
16,10,23152
16,11,23152
16,12,23152
16,13,23152
16,14,23152
16,15,23152
16,16,23152
16,17,23152
16,18,23152
16,19,23152
16,20,23152
16,21,23152
16,22,23152
16,23,23152
16,24,23152
16,25,23152
16,26,23152
16,27,23152
16,28,23152
16,29,23152
16,30,23152
16,31,23152
16,32,23152
16,33,23152
16,34,23152
16,35,23152
16,36,23152
16,37,23152
16,38,23152
16,39,23152
16,40,23152
16,41,23152
16,42,23152
16,43,23152
16,44,23152
16,45,23152
16,46,23152
16,47,23152
16,48,23152
16,49,23152
16,50,23152
16,51,23152
17,0,23385
17,1,23385
17,2,23385
17,3,23385
17,4,23385
17,5,23385
17,6,23385
17,7,23385
17,8,23385
17,9,23385
17,10,23385
17,11,23385
