PopSize,MaxGenerations,CrossRate,MutationRate,CrossoverType,AverageCost,AverageTime
50,100,0.7,0.01,OX,23875.8,110.3
50,100,0.7,0.01,CX,23547.1,94.4
50,100,0.7,0.02,OX,23508.3,112.9
50,100,0.7,0.02,CX,23468.5,96.7
50,100,0.7,0.05,OX,23230.6,110.3
50,100,0.7,0.05,CX,23867.7,93.9
50,100,0.8,0.01,OX,24061.4,113.2
50,100,0.8,0.01,CX,23868.1,96.9
50,100,0.8,0.02,OX,23404.5,116.7
50,100,0.8,0.02,CX,23413.2,96.5
50,100,0.8,0.05,OX,24018.8,114.3
50,100,0.8,0.05,CX,23368,98.2
50,100,0.9,0.01,OX,23922.2,117.3
50,100,0.9,0.01,CX,23870.1,100.3
50,100,0.9,0.02,OX,23708.2,118
50,100,0.9,0.02,CX,23709.7,101.3
50,100,0.9,0.05,OX,23485.4,118.6
50,100,0.9,0.05,CX,23399.5,101.4
50,200,0.7,0.01,OX,23926.8,110.1
50,200,0.7,0.01,CX,23637.1,94.5
50,200,0.7,0.02,OX,23534,112.3
50,200,0.7,0.02,CX,23741.3,93.7
50,200,0.7,0.05,OX,23721,110.7
50,200,0.7,0.05,CX,23519.8,94.9
50,200,0.8,0.01,OX,23532.2,114.6
50,200,0.8,0.01,CX,23492.8,97.2
50,200,0.8,0.02,OX,23725.1,115.5
50,200,0.8,0.02,CX,23819,97.7
50,200,0.8,0.05,OX,23943,114.1
50,200,0.8,0.05,CX,23783.3,97.7
50,200,0.9,0.01,OX,23433.9,117.5
50,200,0.9,0.01,CX,23940.4,99.9
50,200,0.9,0.02,OX,23639.5,118.1
50,200,0.9,0.02,CX,23800.3,100.1
50,200,0.9,0.05,OX,24035.4,117.8
50,200,0.9,0.05,CX,23543.2,100.6
50,500,0.7,0.01,OX,23539.9,111.2
50,500,0.7,0.01,CX,23425,94.5
50,500,0.7,0.02,OX,23542.5,110
50,500,0.7,0.02,CX,23550.1,94.4
50,500,0.7,0.05,OX,23736.3,109.8
50,500,0.7,0.05,CX,23892.7,94
50,500,0.8,0.01,OX,23345.4,115.3
50,500,0.8,0.01,CX,23665.7,97.2
50,500,0.8,0.02,OX,23657,114
50,500,0.8,0.02,CX,23741.2,97.9
