pop_size,generations,beta,mutation_rate,n,d,mean,std
200,500,3,0.5,50,20,307.8,17.348198753761153
100,300,4,0.2,50,20,308.4,20.075856146127368
200,300,5,0.5,30,20,309.4,21.251823451177078
200,500,5,0.5,30,40,310.2,24.5144855136713
50,500,3,0.5,30,40,311.2,21.641626556245722
200,300,3,0.5,50,20,311.3,18.04466680213298
200,500,4,0.2,50,40,311.4,18.666547618668
100,500,5,0.5,50,20,311.9,17.35770722186545
200,300,5,0.2,50,40,314.4,23.58050041877822
200,300,4,0.5,50,20,314.5,24.58149710656371
100,500,3,0.5,50,20,314.9,26.557296549159517
200,500,5,0.5,50,20,315.0,24.34748446965312
200,300,5,0.5,50,20,315.1,19.34140636044856
50,300,4,0.2,30,20,316.5,22.75192299565028
100,500,5,0.5,50,40,316.6,22.397321268401722
100,500,5,0.5,30,40,317.6,24.27014627067583
100,300,4,0.5,30,20,317.7,24.364112953276177
200,500,5,0.2,50,20,317.9,17.33464738608778
100,500,5,0.2,30,40,318.0,23.138712150852303
200,500,4,0.5,30,20,318.2,20.67268729507608
100,300,3,0.5,30,40,318.8,20.56112837370556
50,300,4,0.2,50,20,318.8,24.090662091358137
50,300,4,0.2,30,40,319.1,24.69595108514754
50,300,3,0.5,50,20,320.0,20.064894716892987
200,500,3,0.2,50,20,320.3,18.18818297686715
50,500,5,0.2,50,20,320.3,21.845136758555668
200,500,4,0.5,50,20,320.7,22.790568224596772
200,500,4,0.5,50,40,320.9,22.823014700078513
100,300,3,0.2,50,40,321.1,24.913650876577684
100,300,3,0.5,50,40,321.3,18.729922583929707
100,300,5,0.2,50,40,321.3,21.656638705025305
200,500,3,0.5,30,20,321.4,27.141112725899802
50,300,5,0.5,30,20,321.8,25.69747069265767
200,300,3,0.2,50,40,321.9,30.79107013405023
100,500,4,0.5,30,20,322.3,22.88689581398054
50,500,3,0.5,50,40,322.4,20.37253052519495
100,300,5,0.5,50,40,322.5,20.56817930688081
100,300,5,0.2,30,40,322.6,30.54242950388852
50,300,3,0.5,30,20,322.7,21.25111761766896
200,500,3,0.2,30,40,322.8,20.053927296168197
50,500,4,0.5,50,40,323.2,23.081594399001123
100,300,5,0.2,30,20,323.3,28.34095975791928
100,500,3,0.5,50,40,323.5,23.243278598338918
200,500,5,0.5,30,20,323.5,28.369878392407678
100,300,3,0.5,50,20,323.7,21.236996021094885
100,300,3,0.5,30,20,323.8,20.94182418033348
200,300,4,0.2,50,40,323.9,17.835077796297945
100,300,5,0.5,30,40,324.1,25.033777182039465
50,300,3,0.5,30,40,324.2,13.082813153141034
200,500,3,0.5,50,40,324.2,31.086331401437512
200,300,5,0.5,50,40,324.3,21.429185705481203
100,500,4,0.2,50,40,324.7,28.996723952888193
200,300,5,0.2,30,20,324.8,24.786286531063904
50,500,4,0.5,30,20,324.9,21.938322634148673
100,300,5,0.5,50,20,324.9,27.263345355990335
200,500,4,0.5,30,40,325.1,22.779157139806557
100,500,5,0.2,50,20,325.3,27.903583999192648
200,300,3,0.2,50,20,325.4,13.814485151463302
100,500,4,0.5,50,40,325.6,21.378493866500513
100,500,3,0.2,50,40,325.6,27.655740814521675
200,300,5,0.5,30,40,325.8,34.98513970245081
50,300,4,0.5,50,40,325.9,24.825188821034175
50,300,5,0.2,30,20,326.1,21.759825366946306
50,500,4,0.5,30,40,326.2,28.36829215867603
200,500,3,0.2,50,40,326.4,20.919847035769646
100,500,3,0.5,30,20,326.4,26.26480534860291
200,300,4,0.5,50,40,326.5,23.057536728800844
100,300,3,0.2,50,20,326.7,15.684705926475
200,300,5,0.2,30,40,326.9,28.104981764804617
200,500,3,0.2,30,20,327.1,21.196461968923025
200,300,4,0.5,30,40,327.1,26.916351907344353
200,300,3,0.2,30,40,327.2,27.374440633554503
200,500,4,0.2,30,40,327.3,24.621332214159327
50,500,5,0.5,30,40,327.3,24.831633051412467
50,300,5,0.5,50,20,327.6,21.703455946000858
100,300,4,0.5,50,40,328.0,27.92848008753788
200,300,3,0.5,30,20,328.3,14.380890097626086
100,300,4,0.2,30,40,328.5,29.598141833567862
50,500,5,0.5,30,20,328.7,33.07884520354361
200,500,4,0.2,50,20,328.8,30.908898395122396
50,500,3,0.2,30,40,328.9,26.265757175455654
200,300,3,0.2,30,20,329.0,16.272676485446393
100,500,4,0.5,30,40,329.0,19.03155274800246
100,300,4,0.5,50,20,329.2,18.427153876819936
50,300,4,0.5,50,20,329.2,23.55758901076254
50,500,4,0.5,50,20,329.5,22.707928130941404
50,300,5,0.2,30,40,329.6,17.304334717058612
50,300,4,0.5,30,40,329.7,17.994721448246985
100,300,5,0.5,30,20,329.9,22.83177610261628
50,500,3,0.5,50,20,329.9,22.92356865760652
200,500,3,0.5,30,40,330.1,25.05374223544259
50,500,5,0.2,30,40,330.2,23.68037161870565
100,300,4,0.2,30,20,330.4,26.781336785156938
200,300,4,0.2,30,20,330.4,28.779159126006444
200,300,3,0.5,30,40,330.5,18.816216410320116
200,500,5,0.5,50,40,330.7,24.855784035109416
50,500,5,0.2,50,40,330.9,24.402663789021066
50,300,5,0.5,50,40,331.3,26.302281269882275
100,300,5,0.2,50,20,331.3,26.378210705049728
200,500,5,0.2,50,40,331.4,21.015232570685484
200,500,4,0.2,30,20,331.4,28.454173683310504
50,500,3,0.2,50,20,331.7,24.27776760742223
50,300,4,0.5,30,20,332.1,22.092758994747577
50,500,4,0.2,50,40,332.3,17.16420694352058
100,500,4,0.2,30,40,332.4,24.385241438214223
100,500,3,0.2,30,40,332.4,27.419700946582186
100,300,4,0.2,50,40,332.6,19.54584354792599
100,500,4,0.2,50,20,332.7,25.608787554275192
200,300,3,0.5,50,40,332.7,27.419153889206722
100,500,5,0.2,30,20,332.9,12.972663566130127
100,500,4,0.2,30,20,333.1,27.75770163396098
100,500,4,0.5,50,20,333.4,19.910801088856267
